 Code           , link                                                                                                                                                                                     
                ,                                                                                                                                                                                          
 Abortion       , https://monqcle.com/upload/63cadb019cd360213f8b4572/                                                                                                                                     
 IVF            , https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9351254/table/Tab1/?report=objectonly                                                                                                       
 Breast         ,                                                                                                                                                                                          
 Mortality      , https://www.kff.org/other/state-indicator/maternal-deaths-and-mortality-rates-per-100000-live-births/?currentTimeframe=0&sortModel=%7B%22colId%22:%22Location%22,%22sort%22:%22asc%22%7D 
 Poverty        ,                                                                                                                                                                                          
 Homeless       ,                                                                                                                                                                                          
 Rape           ,                                                                                                                                                                                          
 Degrees        ,                                                                                                                                                                                          
 Pregnacy       ,                                                                                                                                                                                          
 LifeExpectancy , https://data.cdc.gov/api/views/a5a8-jsrq/rows.csv?accessType=DOWNLOAD&bom=true&format=true                                                                                               
 Happiness      ,                                                                                                                                                                                          
 Virginity      ,                                                                                                                                                                                          
 Period         ,                                                                                                                                                                                          
 Income         ,                                                                                                                                                                                          
 DVStat         ,                                                                                                                                                                                          
