"State","Effective_Date","Valid_Through_Date","Bans_Prohibit","Limited_Law","Limited_Court","Limited_AG","Prohibit_Req","Bans_gest_Any.point.in.pregnancy","Bans_gest_Fetal.heartbeat.detected","Bans_gest_4.weeks.postfertilization..6.weeks.LMP..","Bans_gest_6.weeks.postfertilization..8.weeks.LMP..","Bans_gest_8.weeks.postfertilization..10.weeks.LMP.","Bans_gest_10.weeks.postfertilization..12.weeks.LMP..","Bans_gest_12.weeks.postfertilization..14.weeks.LMP.","Bans_gest_13.weeks.postfertilization..15.weeks.LMP.","Bans_gest_16.weeks.postfertilization..18.weeks.LMP..","Bans_gest_18.weeks.postfertilization..20.weeks.LMP.","Bans_gest_19.weeks.postfertilization..21.weeks.LMP.","Bans_gest20.weeks.postfertilization..22.weeks.LMP.","Bans_gest_21.weeks.postfertilization..23.weeks.LMP..","Bans_gest_22.weeks.postfertilization..24.weeks.LMP.","Bans_gest_24.weeks.postfertilization..26.weeks.LMP.","Bans_gestViability","Bans_gest_Fetus.is.capable.of.feeling.pain","Bans_gest_3rd.trimester","Prohibit_ExcLife.endangerment","Prohibit_ExcSerious.health.risk","Prohibit_Exc_Fetal.anomaly","Prohibit_Exc_Rape","Prohibit_Exc_Incest","Prohibit_Exc_Health","Exc_Req_Must.be.performed.in.a.hospital","Exc_ReqMust.use.a.method.most.likely.to.result.in.fetal.survival","Exc_Req_Second.physician.must.participate","Exc_Req_Second.physician.must.certify.the.exception","Exc_Req_Two.other.physicians.must.certify.the.exception","Exc_Req_Second.physician.must.attend.the.abortion","Exc_Req_No.requirements","Reason_Prohibit","Reason_What_Race","Reason_What_Sex","Reason_What_Down.syndrome","Reason_What_Fetal.anomaly","Reason_What_Fetal.disability","Reason_What_Scientific.research","Methods_Prohibit","Methods_ProcedPartial.birth.abortions","Methods_ProcedDismemberment.abortions","Methods_Proced_Saline.method.abortions","Methods_ExcLife.endangerment","Methods_ExcSerious.health.risk","Methods_Exc_Fetal.anomaly","Methods_Exc_No.exceptions","TriggerBan","Bans_PreRoe","Rank","Total","Emotional...Physical.Well.Being","Work.Enviroment","Community...Enviroment","Average.Age.Death","Average.Pregnacy.Age","Region","WQLI"
"Alabama","2022-06-24","2022-11-01",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,0,0,0,1,45,40.82,44,44,42,78,23.6,"South",337.42
"Alaska","2018-12-01","2022-11-01",1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,1,0,0,43,42.2,36,48,47,80.2,24.3,"West",326.7
"Arizona","2022-10-07","2022-11-01",1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,27,53.48,21,33,23,81.5,24,"West",283.98
"Arkansas","2022-09-19","2022-11-01",1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,47,39.72,49,42,18,78.2,23,"South",323.92
"California","2018-12-01","2022-11-01",1,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,7,60.53,5,34,10,83.1,25.6,"West",231.23
"Colorado","2018-12-01","2022-11-01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,51.51,23,22,45,82.3,25.7,"West",280.51
"Connecticut","2022-07-01","2022-11-01",1,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,6,60.68,6,32,8,82.9,27.2,"Northeast",229.78
"Delaware","2022-06-29","2022-11-01",1,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,11,58.68,11,29,6,80.6,25,"South",228.28
"Florida","2022-07-06","2022-11-01",1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,8,59.31,2,21,44,81.6,25,"South",255.91
"Georgia","2022-07-20","2022-11-01",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,24,54.1,24,30,15,79.7,24.5,"South",267.3
